,stars,date
0,4.0,2013-01-28
1,4.0,2017-12-10
2,5.0,2017-12-14
3,5.0,2017-12-14
4,4.0,2017-12-14
5,5.0,2017-12-14
6,4.0,2017-12-13
7,4.0,2017-12-14
8,5.0,2017-12-13
9,5.0,2017-12-13
10,5.0,2017-10-23
11,4.0,2017-12-10
12,5.0,2017-12-11
13,5.0,2017-12-11
14,5.0,2017-12-12
15,4.0,2017-12-11
16,4.0,2017-12-12
17,4.0,2017-12-12
18,4.0,2017-12-08
19,4.0,2017-12-09
20,5.0,2017-12-11
21,4.0,2017-12-10
22,4.0,2017-12-08
23,4.0,2017-12-08
24,5.0,2017-12-10
25,5.0,2017-12-10
26,5.0,2017-12-04
27,4.0,2017-12-09
28,5.0,2017-12-08
29,5.0,2017-12-08
30,5.0,2017-12-08
31,4.0,2017-12-08
32,5.0,2017-12-07
33,4.0,2017-12-07
34,5.0,2017-12-06
35,5.0,2017-12-06
36,4.0,2017-12-06
37,4.0,2017-12-04
38,4.0,2017-12-05
39,4.0,2017-12-04
40,4.0,2017-12-04
41,5.0,2017-12-02
42,5.0,2017-12-02
43,5.0,2017-12-03
44,4.0,2017-12-02
45,5.0,2017-12-01
46,4.0,2017-12-01
47,4.0,2017-12-01
48,3.0,2017-12-14
49,5.0,2017-11-29
50,4.0,2017-11-30
51,3.0,2017-12-13
52,5.0,2017-11-28
53,5.0,2017-11-29
54,5.0,2017-11-29
55,5.0,2017-11-29
56,4.0,2017-11-29
57,4.0,2017-11-29
58,3.0,2017-12-13
59,4.0,2017-11-26
60,4.0,2017-11-28
61,4.0,2017-11-28
62,5.0,2017-11-27
63,5.0,2017-11-27
64,5.0,2017-11-27
65,4.0,2017-11-26
66,4.0,2017-11-27
67,4.0,2017-11-27
68,5.0,2017-11-25
69,5.0,2017-11-26
70,5.0,2017-11-24
71,5.0,2017-11-25
72,5.0,2017-11-25
73,5.0,2017-11-25
74,4.0,2017-11-25
75,5.0,2017-11-24
76,2.0,2017-12-07
77,3.0,2017-12-06
78,5.0,2017-11-21
79,5.0,2017-11-22
80,5.0,2017-11-22
81,4.0,2017-11-22
82,4.0,2017-11-22
83,3.0,2017-12-06
84,5.0,2017-11-20
85,5.0,2017-11-21
86,5.0,2017-11-21
87,5.0,2017-11-21
88,4.0,2017-11-21
89,5.0,2017-11-20
90,2.0,2017-12-05
91,4.0,2017-11-19
92,3.0,2017-12-03
93,3.0,2017-12-04
94,5.0,2017-11-18
95,4.0,2017-11-18
96,3.0,2017-12-03
97,3.0,2017-12-03
98,4.0,2017-11-18
99,4.0,2017-11-18
