,company,stars,date
0,Microsoft,5.0,2018-03-03
1,Microsoft,4.0,2013-01-28
2,Microsoft,5.0,2018-03-03
3,Microsoft,5.0,2018-02-28
4,Microsoft,5.0,2018-02-27
5,Microsoft,5.0,2018-02-26
6,Microsoft,5.0,2018-02-25
7,Microsoft,5.0,2018-02-23
8,Microsoft,5.0,2018-02-23
9,Microsoft,5.0,2018-02-21
10,Microsoft,5.0,2018-02-20
11,Microsoft,5.0,2018-02-18
12,Microsoft,5.0,2018-02-18
13,Microsoft,5.0,2018-02-15
14,Microsoft,5.0,2018-02-15
15,Microsoft,5.0,2018-02-18
16,Microsoft,5.0,2018-02-18
17,Microsoft,5.0,2018-02-13
18,Microsoft,4.0,2018-03-02
19,Microsoft,4.0,2018-03-03
20,Microsoft,3.0,2018-03-03
21,Microsoft,5.0,2018-02-16
22,Microsoft,2.0,2018-03-03
23,Microsoft,3.0,2018-03-01
24,Microsoft,5.0,2018-02-15
25,Microsoft,3.0,2018-03-01
26,Microsoft,5.0,2018-02-14
27,Microsoft,5.0,2018-02-14
28,Microsoft,4.0,2018-02-27
29,Microsoft,3.0,2018-02-25
30,Microsoft,3.0,2018-02-25
31,Microsoft,3.0,2018-02-28
32,Microsoft,5.0,2018-02-12
33,Microsoft,5.0,2018-02-13
34,Microsoft,2.0,2018-02-27
35,Microsoft,4.0,2018-02-24
36,Microsoft,5.0,2018-02-11
37,Microsoft,5.0,2018-02-12
38,Microsoft,5.0,2018-02-07
39,Microsoft,3.0,2018-02-26
40,Microsoft,5.0,2018-02-10
41,Microsoft,3.0,2018-02-24
42,Microsoft,3.0,2018-02-24
43,Microsoft,5.0,2018-02-10
44,Microsoft,4.0,2018-02-24
45,Microsoft,4.0,2018-02-24
46,Microsoft,5.0,2018-02-09
47,Microsoft,4.0,2018-02-22
48,Microsoft,3.0,2018-02-17
49,Microsoft,3.0,2018-02-23
50,Microsoft,5.0,2018-02-08
51,Microsoft,5.0,2018-02-08
52,Microsoft,5.0,2018-02-07
53,Microsoft,5.0,2018-02-07
54,Microsoft,4.0,2018-02-21
55,Microsoft,5.0,2018-02-06
56,Microsoft,4.0,2018-02-20
57,Microsoft,4.0,2018-02-17
58,Microsoft,2.0,2018-02-21
59,Microsoft,5.0,2018-02-05
60,Microsoft,3.0,2018-02-18
61,Microsoft,3.0,2018-02-19
62,Microsoft,4.0,2018-02-17
63,Microsoft,5.0,2018-02-03
64,Microsoft,3.0,2018-02-17
65,Microsoft,5.0,2018-02-02
66,Microsoft,5.0,2018-02-01
67,Microsoft,5.0,2018-02-01
68,Microsoft,5.0,2018-02-01
69,Microsoft,4.0,2018-02-15
70,Microsoft,5.0,2018-01-31
71,Microsoft,5.0,2018-01-31
72,Microsoft,4.0,2018-02-14
73,Microsoft,4.0,2018-02-14
74,Microsoft,4.0,2018-02-14
75,Microsoft,2.0,2018-02-14
76,Microsoft,2.0,2018-02-15
77,Microsoft,4.0,2018-02-13
78,Microsoft,5.0,2018-01-28
79,Microsoft,5.0,2018-01-29
80,Microsoft,4.0,2018-02-11
81,Microsoft,4.0,2018-02-11
82,Microsoft,4.0,2018-02-12
83,Microsoft,4.0,2018-02-11
84,Microsoft,4.0,2018-02-07
85,Microsoft,5.0,2018-01-23
86,Microsoft,3.0,2018-01-31
87,Microsoft,5.0,2018-01-27
88,Microsoft,5.0,2018-01-25
89,Microsoft,4.0,2018-02-08
90,Microsoft,5.0,2018-01-22
91,Microsoft,3.0,2018-02-03
92,Microsoft,3.0,2018-02-05
93,Microsoft,5.0,2018-01-24
94,Microsoft,5.0,2018-01-25
95,Microsoft,4.0,2018-02-08
96,Microsoft,5.0,2018-01-11
97,Microsoft,5.0,2018-01-24
98,Microsoft,4.0,2018-02-04
99,Microsoft,5.0,2018-01-22
